personId,eventId,best,worldRank,continentRank,countryRank
2012SEET01,333bf,9088,573,23,17
2013WENS01,333bf,9091,574,206,81
2016ELAN01,333bf,9095,575,207,19
2011WICA01,333bf,9109,576,208,21
2013MATS02,333bf,9118,577,209,25
2015JAKU01,333bf,9148,578,204,30
2007GOUL01,333bf,9149,579,205,22
2012QIUR01,333bf,9156,580,210,82
2011SOAR01,333bf,9180,581,33,16
2014SUBR04,333bf,9194,582,111,85
2017MORG07,333bf,9210,583,112,86
2017WURY01,333bf,9213,584,113,15
2008KLUN01,333bf,9215,585,206,4
2013GILM01,333bf,9250,586,207,31
2013TITO02,333bf,9257,587,208,10
2017PIWA01,333bf,9262,588,211,7
2011RHEI01,333bf,9264,589,209,26
2005REYN01,333bf,9297,590,114,87
2011HAKI02,333bf,9303,591,212,22
2013KOBA01,333bf,9339,592,213,26
2008SMIT04,333bf,9353,593,210,4
2016HOLZ01,333bf,9361,594,211,27
2015LOMA01,333bf,9366,595,34,5
2009HARN01,333bf,9404,596,115,88
2013HAJU01,333bf,9415,597,214,12
2017ROLL02,333bf,9426,598,212,28
2015HAMM01,333bf,9433,599,213,23
2010PANL01,333bf,9450,600,215,83
2009OLSO01,333bf,9472,601,116,89
2012OANE02,333bf,9475,602,214,4
2019DEVE06,333bf,9490,603,24,7
2013CRAI01,333bf,9492,604,117,90
2013LINC01,333bf,9498,605,216,84
2015PARK13,333bf,9516,606,217,13
2014LANG02,333bf,9528,607,118,91
2013KRAS02,333bf,9530,608,215,32
2018OWIE01,333bf,9544,609,216,33
2012PETE03,333bf,9545,610,217,29
2009OLSS01,333bf,9567,611,218,12
2004LOLE01,333bf,9574,612,119,92
2018CHEC02,333bf,9591,613,120,1
2012JAME04,333bf,9593,614,218,20
2009YAUR01,333bf,9602,615,219,24
2019NOGA01,333bf,9622,616,219,27
2015MASO04,333bf,9626,617,220,25
2013EGDA01,333bf,9627,618,221,4
2015CORT01,333bf,9639,619,121,7
2014SATT01,333bf,9645,620,122,93
2013JIGA01,333bf,9650,621,220,85
2018LIEN01,333bf,9651,622,222,2
2011MOLL01,333bf,9653,623,223,26
2006GARR01,333bf,9655,624,224,30
2013OWCZ01,333bf,9655,624,224,34
2008YOUN02,333bf,9669,626,123,94
2018WULI01,333bf,9670,627,221,8
2010ADHI01,333bf,9677,628,222,23
2017XUAN03,333bf,9690,629,223,12
2015MUZO01,333bf,9699,630,224,86
2012BEAH01,333bf,9720,631,226,3
2013FRAN04,333bf,9728,632,225,15
2013GALL03,333bf,9730,633,227,10
2016ZHAX06,333bf,9731,634,226,87
2016GROS06,333bf,9743,635,228,7
2019DING02,333bf,9746,636,25,18
2011JEEV01,333bf,9754,637,227,21
2017LUYI04,333bf,9757,638,228,88
2014KORO02,333bf,9759,639,229,19
2017RIEN01,333bf,9777,640,230,3
2016JANO01,333bf,9795,641,231,2
2013GARC08,333bf,9814,642,232,12
2016WUSI01,333bf,9831,643,229,89
2014JAYE01,333bf,9835,644,233,27
2006BUUS01,333bf,9836,645,234,5
2016FOKI02,333bf,9839,646,235,20
2014IRIA01,333bf,9842,647,236,13
2007BOUR01,333bf,9843,648,237,20
2016CHAN25,333bf,9845,649,230,6
2012PINT01,333bf,9850,650,35,17
2010CHAN13,333bf,9858,651,231,22
2013LOYK01,333bf,9874,652,238,2
2011CAIJ01,333bf,9888,653,232,90
2014HARI05,333bf,9908,654,233,23
2017SAKA04,333bf,9913,655,234,28
2013CABR01,333bf,9917,656,124,95
2019WANZ21,333bf,9952,657,235,91
2013JOKI01,333bf,9961,658,239,6
2015MATT05,333bf,9964,659,36,18
2010BZDZ01,333bf,9981,660,240,35
2009ADIW01,333bf,9992,661,236,24
2012MORM01,333bf,9994,662,241,11
2014NIET03,333bf,10004,663,37,4
2014SCRU01,333bf,10006,664,125,96
2016LIND13,333bf,10012,665,237,16
2007BODO01,333bf,10018,666,242,8
2014ZHAO10,333bf,10026,667,238,92
2008MHLS01,333bf,10055,668,243,5
